Date,Value
2019-01-01,0.49770794
2019-01-02,0.231475
2019-01-03,0.54987338
2019-01-04,0.13903128
2019-01-05,0.05499059
2019-01-06,0.72577786
2019-01-07,0.31487033
2019-01-08,0.46040034
2019-01-09,0.69558988
2019-01-10,0.69983553
2019-01-11,0.57042981
2019-01-12,0.65992043
2019-01-13,0.83029319
2019-01-14,0.54167332
2019-01-15,0.78240169
2019-01-16,0.65949517
2019-01-17,0.69109094
2019-01-18,0.71832951
2019-01-19,0.0100833
2019-01-20,0.17858871
2019-01-21,0.52210579
2019-01-22,0.78605753
2019-01-23,0.51259378
2019-01-24,0.64534421
2019-01-25,0.77441127
2019-01-26,0.28839304
2019-01-27,0.0982287
2019-01-28,0.60307244
2019-01-29,0.84786631
2019-01-30,0.55549651
2019-01-31,0.29541477
2019-02-01,0.39361689
2019-02-02,0.50721026
2019-02-03,0.77108269
2019-02-04,0.29964849
2019-02-05,0.58629368
2019-02-06,0.54988914
2019-02-07,0.2645877
2019-02-08,0.72370356
2019-02-09,0.38236048
2019-02-10,0.84976824
2019-02-11,0.07439737
2019-02-12,0.36442333
2019-02-13,0.18355782
2019-02-14,0.95995992
2019-02-15,0.72255715
2019-02-16,0.72567905
2019-02-17,0.53427056
2019-02-18,0.81057568
2019-02-19,0.84179109
2019-02-20,0.83377353
2019-02-21,0.0760183
2019-02-22,0.295258
2019-02-23,0.12039346
2019-02-24,0.23609868
2019-02-25,0.94024856
2019-02-26,0.21665008
2019-02-27,0.84118939
2019-02-28,0.23905494
2019-03-01,0.08735163
2019-03-02,0.17952613
2019-03-03,0.63998689
2019-03-04,0.56395691
2019-03-05,0.46538433
2019-03-06,0.64513495
2019-03-07,0.49468424
2019-03-08,0.0935912
2019-03-09,0.30168235
2019-03-10,0.01438266
2019-03-11,0.31856429
2019-03-12,0.55123674
2019-03-13,0.5536734
2019-03-14,0.91530219
2019-03-15,0.07864674
2019-03-16,0.29491603
2019-03-17,0.47741956
2019-03-18,0.30980799
2019-03-19,0.74417308
2019-03-20,0.5863147
2019-03-21,0.32752015
2019-03-22,0.45998
2019-03-23,0.02006223
2019-03-24,0.29464505
2019-03-25,0.92024395
2019-03-26,0.12023005
2019-03-27,0.6203417
2019-03-28,0.27606866
2019-03-29,0.2549325
2019-03-30,0.12443301
2019-03-31,0.24217728
2019-04-01,0.36546239
2019-04-02,0.44198074
2019-04-03,0.54081414
2019-04-04,0.23655918
2019-04-05,0.50920655
2019-04-06,0.25478237
2019-04-07,0.99453635
2019-04-08,0.80561352
2019-04-09,0.19474114
2019-04-10,0.43906509
2019-04-11,0.41129441
2019-04-12,0.92897273
2019-04-13,0.13342604
2019-04-14,0.90038059
2019-04-15,0.13063453
2019-04-16,0.78090652
2019-04-17,0.89552029
2019-04-18,0.34977663
2019-04-19,0.59668177
2019-04-20,0.15251013
2019-04-21,0.49698083
2019-04-22,0.25695764
2019-04-23,0.31611069
2019-04-24,0.16922245
2019-04-25,0.0845821
2019-04-26,0.67064791
2019-04-27,0.57798211
2019-04-28,0.24116597
2019-04-29,0.71342756
2019-04-30,0.7811691
2019-05-01,0.12577934
